,Activity Date,Distance,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Average Cadence,Average Heart Rate,Average Watts,Weighted Average Power,Wind Speed,Average Speed,Total Weight
550,2019-03-05 10:11:29,52.58,7205.0,67.32000274658203,546.0,553.0,729.4000244140625,880.4000244140625,83.0879135131836,129.8260040283203,140.83782958984375,163.0,,26.271755725190836,77.5
551,2019-03-06 11:44:21,58.68,7784.0,51.48000068664551,475.0,478.0,702.0,865.2000122070312,81.08720397949219,123.81680297851562,121.15415954589844,143.0,,27.13874614594039,77.5
552,2019-03-09 12:04:29,60.16,7401.0,58.67999725341797,657.0,644.0,762.0,947.4000244140624,85.54151153564453,147.88717651367188,160.04608154296875,171.0,,29.263072557762463,77.5
553,2019-03-10 19:34:47,47.83,6357.0,59.4,415.0,414.0,778.7999877929688,837.0,82.0518569946289,126.7217254638672,139.43353271484375,162.0,,27.08636149126946,77.5
556,2019-03-16 10:07:48,102.53,13166.0,69.839998626709,1185.0,1191.0,511.3999938964844,827.0,82.23727416992188,143.9337921142578,146.01930236816406,163.0,,28.034938477897615,77.5
557,2019-03-17 13:38:33,51.05,6939.0,73.07999725341797,503.0,499.0,711.5999755859375,845.0,83.27120208740234,140.0431365966797,135.28762817382812,148.0,,26.485084306095978,77.5
560,2019-03-23 10:45:01,104.39,13022.0,65.52000274658204,1230.0,1245.0,532.5999755859375,858.5999755859375,84.28033447265625,150.31631469726562,151.42152404785156,168.0,,28.859161419136846,77.5
561,2019-03-24 20:28:45,31.35,3890.0,60.83999862670898,309.0,308.0,783.2000122070312,870.4000244140625,84.35934448242188,133.76426696777344,146.14292907714844,154.0,,29.01285347043702,77.5
562,2019-03-26 21:42:31,25.49,3831.0,39.23999862670898,127.0,119.0,803.7999877929688,841.4000244140625,79.79743957519531,107.0785140991211,112.6356964111328,122.0,,23.953014878621765,77.5
568,2019-04-07 12:21:57,76.7,9426.0,61.2,725.0,711.0,781.7999877929688,866.7999877929688,85.20672607421875,155.96043395996094,155.2982177734375,163.0,,29.293443666454486,77.5
571,2019-04-13 11:23:19,61.42,7923.0,80.639998626709,672.0,682.0,687.0,871.7999877929688,82.42915344238281,143.71058654785156,149.52267456054688,157.0,,27.907610753502464,77.5
575,2019-04-19 12:11:35,58.11,7439.0,59.4,459.0,461.0,811.7999877929688,898.4000244140625,85.2989501953125,130.14114379882812,143.281494140625,146.0,,28.121521709907245,77.5
577,2019-04-21 19:09:19,63.91,7891.0,64.8,689.0,656.0,727.7999877929688,857.2000122070312,84.53871154785156,151.34481811523438,162.81675720214844,174.0,,29.15676086681029,77.5
581,2019-04-28 13:09:54,32.0,4018.0,61.920002746582036,304.0,285.0,708.4000244140625,823.5999755859375,85.55445861816406,149.3312530517578,153.8312530517578,172.0,,28.670980587356894,77.5
585,2019-05-01 11:00:10,82.34,10809.0,68.76000137329102,878.0,873.0,693.5999755859375,860.7999877929688,81.68567657470703,135.0,139.431396484375,152.0,,27.42381348875937,77.5
587,2019-05-04 13:05:03,61.47,7329.0,50.4,444.0,431.0,808.5999755859375,851.7999877929688,84.73775482177734,147.0,157.48191833496094,173.0,,30.194023741301677,77.5
593,2019-05-11 14:06:01,59.66,8630.0,78.47999725341798,1078.0,1059.0,673.4000244140625,850.7999877929688,81.7032470703125,150.0,157.47023010253906,175.0,,24.887137891077636,77.5
594,2019-05-12 19:48:48,47.06,6138.0,61.2,465.0,481.0,737.7999877929688,884.2000122070312,82.63614654541016,136.3461520534156,153.00765991210938,162.0,,27.601173020527863,77.5
598,2019-05-18 13:25:05,47.54,5680.0,59.76000137329102,291.0,283.0,769.4000244140625,834.4000244140625,87.5715560913086,151.0,176.46620178222656,189.0,,30.130985915492957,77.5
599,2019-05-19 11:55:55,93.35,13241.0,72.36000137329101,1492.0,1482.0,550.2000122070312,963.4000244140624,80.57057189941406,144.0,154.940185546875,167.0,,25.380258288648893,77.5
605,2019-05-26 13:49:42,52.41,6790.0,63.72000274658203,646.0,631.0,729.7999877929688,865.4000244140625,87.0084228515625,140.0,158.336669921875,167.0,,27.787334315169367,77.5
608,2019-06-01 10:52:40,112.6,15966.0,78.47999725341798,1844.0,1841.0,588.2000122070312,982.2000122070312,84.64610290527344,152.0,152.11944580078125,166.0,,25.388951521984218,74.5
612,2019-06-08 11:32:27,78.98,9601.0,66.60000000000001,895.0,899.0,649.5999755859375,870.7999877929688,80.07496643066406,136.0,137.0276336669922,158.0,,29.61441516508697,74.5
613,2019-06-09 19:51:36,30.51,3812.0,39.96000137329102,226.0,230.0,841.7999877929688,877.4000244140625,84.33999633789062,133.0,146.3003692626953,147.0,,28.813221406086047,74.5
615,2019-06-13 14:33:24,30.75,4005.0,47.88000068664551,196.0,248.0,792.4000244140625,869.5999755859375,83.91384887695312,141.0,135.96803283691406,167.0,,27.640449438202246,74.5
616,2019-06-15 13:23:47,18.71,2311.0,41.4,127.0,142.0,810.5999755859375,844.7999877929688,89.8095474243164,139.0,145.80735778808594,171.0,,29.145824318476855,74.5
617,2019-06-16 12:06:02,106.64,14110.0,69.839998626709,1753.0,1746.0,620.7999877929688,987.7999877929688,81.19019317626953,152.0,153.16604614257812,173.0,,27.20793763288448,74.5
619,2019-06-20 18:15:58,65.42,7736.0,68.4,714.0,711.0,731.0,862.5999755859375,86.93412017822266,153.0,164.66339111328125,174.0,,30.443640124095143,74.5
